Master;Type;Source;Buckets;Template_Name;Date;version
15;D;15_6;15_Electrique_CC0_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC0_V47;17/6/2020;47
15;W;WEB_15_6;15_Electrique_CC0_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC0_V47;17/6/2020;47
15;D;15_3;15_Electrique_CCE_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CCE_V47;17/6/2020;47
15;W;WEB_15_3;15_Electrique_CCE_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CCE_V47;17/6/2020;47
15;D;15_2;15_Electrique_CCD_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CCD_V47;17/6/2020;47
15;W;WEB_15_2;15_Electrique_CCD_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CCD_V47;17/6/2020;47
15;D;15_3;15_Electrique_CC1_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC1_V47;17/6/2020;47
15;W;WEB_15_3;15_Electrique_CC1_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC1_V47;17/6/2020;47
15;D;15_6;15_Electrique_CCA_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CCA_V47;17/6/2020;47
15;W;WEB_15_6;15_Electrique_CCA_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CCA_V47;17/6/2020;47
15;D;15_4;15_Electrique_CC11_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CC11_V47;17/6/2020;47
15;W;WEB_15_4;15_Electrique_CC11_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CC11_V47;17/6/2020;47
15;D;15_4;15_Electrique_CCB_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CCB_V47;17/6/2020;47
15;W;WEB_15_4;15_Electrique_CCB_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_WEB\15_Electrique_CCB_V47;17/6/2020;47
15;D;15_3;15_Electrique_CCB1_V47.txt;C:\ProgramData\Winlog Lite 3\Projects\Energy_Supervisor_V47 Elmazraa\TEMPLATES_GENERATED\15\T_DESKTOP\15_Electrique_CCB1_V47;17/6/2020;47
