Channel;Device;GateID;N ID;Address;Description;Multiply factor 1;Gate Type 1;GateID1;N ID 1;Operation;Multiply factor 2;Gate Type 2;GateID2;N ID 2;Measured val. 1;Engineering val. 1;Measured val. 2;Engineering val. 2;Decimal digits;Record on historical file;Enable writing to device;Access groups;Apply decimal factor;From gate;Decimal Digits Gate Type;Decimal Digits Gate ID;Decimal Digits N Id
0;0;CMPGate;0;;Name_KWh J;1;NUM;NUMGate;0;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1;;Name_KWh W;1;NUM;NUMGate;1;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2;;Name_KWh M;1;NUM;NUMGate;2;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;3;;Name_KWh A;1;NUM;NUMGate;3;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;4;;Name_VARh J;1;NUM;NUMGate;4;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;5;;Name_VARh W;1;NUM;NUMGate;5;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;6;;Name_VARh M;1;NUM;NUMGate;6;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;7;;Name_VARh A;1;NUM;NUMGate;7;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;8;;Name_KWh/T J;1;NUM;ZERO;0;/;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;9;;Name_KWh/T W;1;NUM;ZERO;0;/;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;10;;Name_KWh/T M;1;NUM;ZERO;0;/;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;11;;Name_KWh/T A;1;NUM;ZERO;0;/;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;12;;Name_V1;1;NUM;NUMGate;12;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;13;;Name_V2;1;NUM;NUMGate;13;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;14;;Name_V3;1;NUM;NUMGate;14;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;15;;Name_U1;1;NUM;NUMGate;15;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;16;;Name_U2;1;NUM;NUMGate;16;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;17;;Name_U3;1;NUM;NUMGate;17;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;18;;Name_A1;1;NUM;NUMGate;18;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;19;;Name_A2;1;NUM;NUMGate;19;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;20;;Name_A3;1;NUM;NUMGate;20;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;21;;Name_P1;1;NUM;NUMGate;21;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;22;;Name_P2;1;NUM;NUMGate;22;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;23;;Name_P3;1;NUM;NUMGate;23;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;24;;Name_Kwh;1;NUM;NUMGate;24;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;F;F;0;T;F;;;
0;0;CMPGate;25;;Name_VARh;1;NUM;NUMGate;25;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;27;;Name_COS TOTAL;1;NUM;NUMGate;27;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;28;;Name_Alarmes;1;NUM;NUMGate;28;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;29;;Name_Total Alarme Jour;1;NUM;NUMGate;28;-;1;NUM;NUMGate_J-1;2;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;30;;Name_Total Alarme semaine;1;NUM;NUMGate;28;-;1;NUM;NUMGate_S-1;2;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;31;;Name_Total Alarme Month;1;NUM;NUMGate;28;-;1;NUM;NUMGate_M-1;2;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;32;;Name_Total Alarme Year;1;NUM;NUMGate;28;-;1;NUM;NUMGate_A-1;2;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;33;;Name_KWh LJ;1;NUM;NUMGate;33;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;34;;Name_KWh LW;1;NUM;NUMGate;34;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;35;;Name_KWh LM;1;NUM;NUMGate;35;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;36;;Name_KWh LA;1;NUM;NUMGate;36;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;37;;Name_VArh LJ;1;NUM;NUMGate;37;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;38;;Name_VArh LW;1;NUM;NUMGate;38;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;39;;Name_VArh LM;1;NUM;NUMGate;39;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;40;;Name_VArh LA;1;NUM;NUMGate;40;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;41;;Name_Alarmes LJ;1;NUM;NUMGate;41;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;42;;Name_Alarmes LW;1;NUM;NUMGate;42;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;43;;Name_Alarmes LM;1;NUM;NUMGate;43;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;44;;Name_Alarmes LA;1;NUM;NUMGate;44;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;45;;Name_KWh/T LJ;1;NUM;ZERO;0;/;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;46;;Name_KWh/T LW;1;NUM;ZERO;0;/;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;47;;Name_KWh/T LM;1;NUM;ZERO;0;/;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;48;;Name_KWh/T LA;1;NUM;ZERO;0;/;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;49;;Name_INC Live;1;NUM;NUMGate;49;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1000;;Name_KWh J/OBJECTIF;100;CMP;CMPGate;0;/;1;NUM;ONUMGate;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1001;;Name_KWh W/OBJECTIF;100;CMP;CMPGate;1;/;1;NUM;ONUMGate;1;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1002;;Name_KWh M/OBJECTIF;100;CMP;CMPGate;2;/;1;NUM;ONUMGate;2;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1003;;Name_KWh A/OBJECTIF;100;CMP;CMPGate;3;/;1;NUM;ONUMGate;3;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1004;;Name_VARh J/OBJECTIF;100;CMP;CMPGate;4;/;1;NUM;ONUMGate;4;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1005;;Name_VARh W/OBJECTIF;100;CMP;CMPGate;5;/;1;NUM;ONUMGate;5;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1006;;Name_VARh M/OBJECTIF;100;CMP;CMPGate;6;/;1;NUM;ONUMGate;6;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1007;;Name_VARh A/OBJECTIF;100;CMP;CMPGate;7;/;1;NUM;ONUMGate;7;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1008;;Name_KWh/T J/OBJECTIF;100;CMP;CMPGate;8;/;1;NUM;ONUMGate;8;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1009;;Name_KWh/T W/OBJECTIF;100;CMP;CMPGate;9;/;1;NUM;ONUMGate;9;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1010;;Name_KWh/T M/OBJECTIF;100;CMP;CMPGate;10;/;1;NUM;ONUMGate;10;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1011;;Name_KWh/T A/OBJECTIF;100;CMP;CMPGate;11;/;1;NUM;ONUMGate;11;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1012;;Name_V1/OBJECTIF;100;CMP;CMPGate;12;/;1;NUM;ONUMGate;12;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;1013;;Name_V2/OBJECTIF;100;CMP;CMPGate;13;/;1;NUM;ONUMGate;13;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;1014;;Name_V3/OBJECTIF;100;CMP;CMPGate;14;/;1;NUM;ONUMGate;14;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;1015;;Name_U1/OBJECTIF;100;CMP;CMPGate;15;/;1;NUM;ONUMGate;15;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;1016;;Name_U2/OBJECTIF;100;CMP;CMPGate;16;/;1;NUM;ONUMGate;16;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;1017;;Name_U3/OBJECTIF;100;CMP;CMPGate;17;/;1;NUM;ONUMGate;17;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;1018;;Name_A1/OBJECTIF;100;CMP;CMPGate;18;/;1;NUM;ONUMGate;18;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;1019;;Name_A2/OBJECTIF;100;CMP;CMPGate;19;/;1;NUM;ONUMGate;19;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;1020;;Name_A3/OBJECTIF;100;CMP;CMPGate;20;/;1;NUM;ONUMGate;20;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;1021;;Name_P1/OBJECTIF;100;CMP;CMPGate;21;/;1;NUM;ONUMGate;21;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1022;;Name_P2/OBJECTIF;100;CMP;CMPGate;22;/;1;NUM;ONUMGate;22;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1023;;Name_P3/OBJECTIF;100;CMP;CMPGate;23;/;1;NUM;ONUMGate;23;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1024;;Name_Kwh/OBJECTIF;100;CMP;CMPGate;24;/;1;NUM;ONUMGate;24;0;0;1;1;1;F;F;0;T;F;;;
0;0;CMPGate;1025;;Name_VARh/OBJECTIF;100;CMP;CMPGate;25;/;1;NUM;ONUMGate;25;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;1027;;Name_COS TOTAL/OBJECTIF;100;CMP;CMPGate;27;/;1;NUM;ONUMGate;27;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1028;;Name_Alarmes/OBJECTIF;100;CMP;CMPGate;28;/;1;NUM;ONUMGate;28;0;0;1;1;1;T;F;0;F;F;;;
