Channel;Device;GateID;N ID;Address;Description;Multiply factor 1;Gate Type 1;GateID1;N ID 1;Operation;Multiply factor 2;Gate Type 2;GateID2;N ID 2;Measured val. 1;Engineering val. 1;Measured val. 2;Engineering val. 2;Decimal digits;Record on historical file;Enable writing to device;Access groups;Apply decimal factor;From gate;Decimal Digits Gate Type;Decimal Digits Gate ID;Decimal Digits N Id
0;0;CMPGate;0;;Name_Cons Gaz Total;1;NUM;NUMGate;32;RESET IF =;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;31;;Name_INC Live;1;NUM;NUMGate;31;RESET IF =;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1;;Name_Cons Gaz B;1;CMP;CMPGate;901;*;1;NUM;NUMGate;33;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;901;;Name_Cons Gaz B Aux;1;NUM;NUMGate;32;-;1;NUM;NUMGate;34;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;2;;Name_INC B;1;CMP;CMPGate;902;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;902;;Name_INC B Aux;1;NUM;NUMGate;31;-;1;NUM;NUMGate_B-1;1;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;3;;Name_Ratio B;1;CMP;CMPGate;1;/;1;CMP;CMPGate;903;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;903;;Name_Ratio B Aux;1;CMP;Prod;1;DISCARD Lo;1;NUM;ONE;0;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;4;;Name_Cons Gaz B-1;1;NUM;NUMGate;4;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;5;;Name_INC B-1;1;NUM;NUMGate;5;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;6;;Name_Ratio B-1;1;NUM;NUMGate;6;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;7;;Name_Cons Gaz J;1;CMP;CMPGate;907;*;1;NUM;NUMGate;33;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;907;;Name_Cons Gaz J Aux;1;NUM;NUMGate;32;-;1;NUM;NUMGate;35;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;8;;Name_INC J;1;CMP;CMPGate;908;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;908;;Name_INC J Aux;1;NUM;NUMGate;31;-;1;NUM;NUMGate_J-1;1;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;9;;Name_Ratio J;1;CMP;CMPGate;7;/;1;CMP;CMPGate;909;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;909;;Name_Ratio J Aux;1;CMP;Prod;1;DISCARD Lo;1;NUM;ONE;0;0;0;1;1;1;F;F;0;F;F;;;
0;0;CMPGate;10;;Name_Cons Gaz J-1;1;NUM;NUMGate;10;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;11;;Name_INC J-1;1;NUM;NUMGate;11;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;12;;Name_Ratio J-1;1;NUM;NUMGate;12;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
