CODE;NAME;ACCESS
V100;¤ VMZ.                  ;512
D200;¤ Dick.                 ;2
G200;¤ GIPA.                 ;1
S200;¤ STEG.                 ;1
V110;¤ PAF.                  ;1
C210;¤ Prod Coproduit.       ;4
M152A;¤ CoProduit TR2.        ;4
M152;¤ COP-eclairage.        ;4
M152B;¤ CoProduit TR4.        ;4
C211;¤ ATL-Coproduit.        ;4
C212;¤ COP-collecte.         ;4
C213;¤ TP-Coproduit.         ;4
C214;¤ COP-Process.          ;4
M152E;¤ COP-Osmose-ADM.       ;4
C220;¤ COP-Facility.         ;4
M152D;¤ COP-Lavage.           ;4
M200;¤ ElMazeraa.            ;9
Z100;¤ Production ElMazraa.  ;8
M210;¤ Abattoir.             ;16
M211;¤ Ramassage.            ;16
M212;¤ Accrochage.           ;16
M21I;¤ Hangar-A.             ;16
M213;¤ Abattage.             ;16
M21F;¤ Abattage-Eclair.      ;16
M21J;¤ chaine abattage.      ;16
M21K;¤ ECHAUDOIRE.           ;16
M21L;¤ LAVEUSE CAISSE.       ;16
M1E0;¤ Comble-Abattage.      ;16
M1E1;¤ SKID-NEGATIF.         ;16
M1E2;¤ ARMOIR-F-EVAP .       ;16
M1E3;¤ EXT-MPF 18+19-B.      ;16
M1E4;¤ MPF-Ancienne  .       ;16
M1E5;¤ SKID IMEF-16C.        ;16
M1E6;¤ SDM1-COMP-SK.         ;16
M1E7;¤ SDM1-COMP-MATAL.      ;16
M1E8;¤ SDM2-RES+PET.         ;16
M214;¤ Echaudoire+Plum.      ;16
M219;¤ Plumage.              ;16
M218;¤ Pompe a Vide.         ;16
M21A;¤ Pompe a Vide 1.       ;16
M215;¤ Ressuage.             ;16
M21F;¤ Station-E-Glace.      ;16
M21G;¤ Refroidisseur.        ;16
M21H;¤ Hydro nettoyeur.      ;16
M21G;¤ ventilo-ressuag.      ;16
M21H;¤ chaine-ressuage.      ;16
M21M;¤ ventilo ress-3.       ;16
M216;¤ Calibrage.            ;16
M21E;¤ Atelier-OB.           ;16
M217;¤ Decoupe.              ;16
M21D;¤ Pompe a Vide D.       ;16
M31E;¤ Decoupe automat.      ;16
M21I;¤ Abattoir TR1.         ;16
M21J;¤ Abattoir TR2.         ;16
M21K;¤ Abattoir TR4.         ;16
M220;¤ Charcuterie.          ;32
M221;¤ Charcuterie-Pro.      ;32
M22I;¤ BAINS-CUISSON.        ;32
M229;¤ Charcuterie TR2.      ;32
M221;¤ charcuterie 1 .       ;32
M223;¤ conditionnement  .    ;32
M224;¤ Cutter 500 .          ;32
M227;¤ Machine a glace .     ;32
M228;¤ Separateur R.         ;32
M22A;¤ Charcuterie TR3.      ;32
M222;¤ Charcuterie 2  .      ;32
M225;¤ Hachoir CB 160 .      ;32
M226;¤ Hachwar GEA  .        ;32
M22B;¤ cutteru N1.           ;32
M22C;¤ cutteur N2.           ;32
M22E;¤ A-Condenseur.         ;32
M230;¤ Conserve.             ;32
M231;¤ Conserve-Pro.         ;32
M261;¤ Autoclave.            ;32
M233;¤ ATL-conserve.         ;32
M240;¤ PetFood.              ;32
M241;¤ Autoclave PetFd.      ;32
M242;¤ PetFood TR4.          ;32
M24A;¤ cutteur PetFood.      ;32
M24B;¤ PetFood Calcule.      ;32
M24C;¤ Ventio evap.          ;32
M243;¤ Atelier PETFOOD.      ;32
M244;¤ EB-PetFood.           ;32
M245;¤ vestier-PetFood.      ;32
M246;¤ Station Primere.      ;32
M247;¤ Bain Marie C.         ;32
M250;¤ Surgele.              ;32
M25G;¤ Surgele TR6.          ;32
M25H;¤ ARM-Surgele TR6.      ;32
M251;¤ ARM DISTRIB L1.       ;32
M252;¤ ARM DISTRIB L2.       ;32
M253;¤ ARM GRP FROID+.       ;32
M254;¤ ARMOIRE POSITIF.      ;32
M255;¤ ARM ECLAIR USINE.     ;32
M257;¤ ARMOIRE AMONIAC.      ;32
M258;¤ ARMOIRE CHAUF.        ;32
M259;¤ ARMOIRE PORTE.        ;32
M25M;¤ Surgelateurs.         ;32
M25C;¤ vestiere.             ;32
M25D;¤ baratte.              ;32
M25E;¤ chargeB chariot.      ;32
M25N;¤ Osmose Surgele.       ;32
M25F;¤ Osmose Surgele2.      ;32
M25I;¤ Osmose Surgele1.      ;32
M25J;¤ A-Condenseur.         ;32
M1T2;¤ Condenseur S.         ;32
M25L;¤ Net-Surgele.          ;32
M25O;¤ Net-Surgele 2.        ;32
M25P;¤ Net-Surgele 1.        ;32
M25F;¤ DIVER SURG S-.        ;32
M260;¤ UCPC.                 ;32
M261;¤ ProcessUCPC.          ;32
M264;¤ vestier UCPC.         ;32
M263;¤ UCPC Comble.          ;32
M262;¤ Froid UCPC.           ;32
Z200;¤ Utilitaire ElMazraa.  ;1
MA00;¤ Froid.                ;1
MA08;¤ EXT MPF 18+19 B.      ;1
MA06;¤ Salles Machines.      ;1
M110;¤ SMF-ElMazeraa.        ;1
M2H0;¤ Autoclave, Ch+.       ;1
M111;¤ SKID -40.             ;1
M2I0;¤ Surgelateurs GEA.     ;1
M2D0;¤ Tunnels T-CH.         ;1
M112;¤ SKID -16.             ;1
M2E0;¤ Ch+Bains saumur.      ;1
M113;¤ Extension IMEF.       ;1
M115;¤ Extension IMEF1.      ;1
M116;¤ Extension IMEF2.      ;1
M11C;¤ Matal.                ;1
M11K;¤ compresseur1.         ;1
M11L;¤ compresseur2.         ;1
M11D;¤ York.                 ;1
M11N;¤ compresseur1.         ;1
M11O;¤ compresseur2.         ;1
M11P;¤ compresseur3.         ;1
M11Q;¤ compresseur4.         ;1
M11R;¤ compresseur5.         ;1
M11S;¤ compresseur6.         ;1
M120;¤ SMF Surgele.          ;1
M2J0;¤ Ch-PF,Ch Prepar.      ;1
M122;¤ Groupe EG.            ;1
M123;¤ GRP (-) compres.      ;1
M124;¤ GRP (+) compres.      ;1
M125;¤ GRP(+)2 compres.      ;1
M130;¤ SMF Ressuage3.        ;1
M2L0;¤ Ch+PF,Ch+MP.          ;1
M131;¤ Ressuage 3.           ;1
M133;¤ Skid SM Ress3.        ;1
M133;¤ compresseur1.         ;1
M134;¤ compresseur2.         ;1
M1T0;¤ Condenseur.           ;1
MA01;¤ IMEF.                 ;1
MA02;¤ Froid TR1.            ;1
MA02A;¤ EXT IMEF1 TR1.        ;1
MA02B;¤ C skid+evap/tr1.      ;1
MA02C;¤ compresseur1_1.       ;1
MA02D;¤ compresseur2_1.       ;1
MA02E;¤ SDM1 comp sk.         ;1
